country,region,year,sector,population,gdp_billion_usd,co2_emissions_million_tons,scenario
Italy,Europe,2010,Transport,,2567192.1202768055,3573.45,High_Growth
UAE,Asia,2022,Industry,885167707.0,6032847.41,5692.82,Baseline
South Korea,Asia,2019,Residential,,3172204.4334329967,1210.9,Policy_Reduction
Japan,Asia,2011,Residential,497463738.0,5054028.8,1032.71,Baseline
Thailand,Asia,2014,Energy,42700855.0,8050656.935483073,985.09,Renewable_Transition
Australia,Oceania,2016,Residential,780753866.0,621609.5841556818,1572.98,Policy_Reduction
Australia,Oceania,2001,Residential,605645956.0,259846.6748139919,1442.14,High_Growth
France,Europe,1998,Transport,,756358.5068322773,1421.36,Renewable_Transition
South Africa,Africa,2019,Transport,509485816.0,2416991.0035936823,385.15,Renewable_Transition
Nigeria,Africa,2020,Energy,2087717082.0,6771217.936549521,332.74,Renewable_Transition
Germany,Europe,1996,Energy,237364097.0,2514414.24,,Baseline
Italy,Europe,2018,Transport,1325174192.0,2963362.53,3833.03,Baseline
JAPAN,Asia,2004,Agriculture,454168035.0,4044505.41603841,1139.76,High_Growth
Egypt,Africa,2013,Transport,1258909504.0,4026094.1668795263,275.2,Policy_Reduction
INDONESIA,Asia,2003,Residential,542326720.0,,2058.53,High_Growth
PHILIPPINES,Asia,1998,Energy,125792949.0,2889184.12,5571.66,Baseline
Vietnam,Asia,2016,Transport,,1036077.05,1838.45,Baseline
United Kingdom,Europe,2015,Energy,99747177.0,2032158.1041729501,5640.97,High_Growth
Russia,Europe,2020,Agriculture,1544544879.0,,333.11,Baseline
Vietnam,Asia,2009,Agriculture,323267906.0,806388.272603204,428.29,Renewable_Transition
Iran,Asia,2007,Industry,995180769.0,,500.21,Baseline
Indonesia,Asia,2015,Industry,587757039.0,1936678.58,6280.34,Baseline
Japan,Asia,2002,Industry,446709569.0,3200957.77,4216.51,Baseline
France,Europe,2004,Industry,1303864702.0,1088742.2860110307,2198.18,Renewable_Transition
Turkey,Middle East,2010,Industry,301492104.0,1250989.25,3089.15,Baseline
India,Asia,2024,Transport,2186569620.0,5283119.348502602,6255.42,Policy_Reduction
United States,North America,2005,Energy,1458367678.0,,2202.1,Renewable_Transition
Spain,Europe,2002,Energy,627742963.0,2085912.4640205961,4322.76,High_Growth
Canada,North America,2015,Energy,844737733.0,1738048.784257922,,Renewable_Transition
Turkey,Middle East,2019,Residential,326574468.0,1547918.499881923,1161.45,High_Growth
Australia,Oceania,2019,Energy,739430367.0,345575.9377230773,6818.17,Policy_Reduction
Malaysia,Asia,2009,Energy,1702080648.0,3505187.345767164,4673.96,Renewable_Transition
United Kingdom,Europe,2010,Energy,91047845.0,2363647.7014391636,,Policy_Reduction
Nigeria,Africa,2001,Energy,1354675363.0,2176514.25,254.15,Baseline
South Korea,Asia,2017,Industry,1621932640.0,3035915.1210557274,2034.07,Renewable_Transition
Russia,Europe,2022,Agriculture,1570441498.0,5459799.72,215.71,Baseline
Japan,Asia,2017,Residential,492854095.0,4202040.468731195,2547.42,High_Growth
Turkey,Middle East,2008,Industry,321621250.0,928409.44,5441.44,Baseline
Japan,Asia,2012,Agriculture,532885847.0,4409857.349764134,948.67,High_Growth
United Kingdom,Europe,1998,Industry,71668848.0,1215236.14,2966.53,Baseline
Spain,Europe,2009,Transport,606482605.0,3354233.1692656274,2571.78,High_Growth
Germany,Europe,1997,Energy,,2600069.280617465,3898.38,Renewable_Transition
United Kingdom,Europe,2021,Industry,,,,Baseline
VIETNAM,Asia,2023,Residential,388605071.0,,1396.88,Policy_Reduction
Russia,Europe,2020,Energy,1544544879.0,3006964.9071930107,,Renewable_Transition
Thailand,Asia,2007,Industry,38681241.0,4441429.128904008,852.74,High_Growth
Thailand,Asia,2010,Industry,44839424.0,5710144.74,,Baseline
Australia,Oceania,1996,Residential,583868276.0,204713.8675610785,834.03,Renewable_Transition
Egypt,Africa,1999,Energy,1092655347.0,2913817.57,817.16,Baseline
UAE,Asia,2019,Transport,,3035609.3852683464,,Policy_Reduction
South Africa,Africa,2004,Transport,451564661.0,967784.9141473552,596.49,Policy_Reduction
South Korea,Asia,2005,Agriculture,1386497803.0,2016856.78,537.45,Baseline
Thailand,Asia,1999,Industry,,3037278.24,,Baseline
Nigeria,Africa,2016,Transport,1574429887.0,2744699.04,223.66,Baseline
Argentina,South America,2005,Agriculture,621595062.0,,454.87,Baseline
Vietnam,Asia,2001,Transport,307789471.0,887192.7950418764,1386.96,Renewable_Transition
United Kingdom,Europe,2022,Agriculture,103759629.0,4589714.228856047,433.87,Policy_Reduction
Canada,North America,2000,Transport,,913468.8571503771,1956.4,Policy_Reduction
China,Asia,2022,Energy,277155114.0,3708497.4947128594,1299.09,Renewable_Transition
Brazil,South America,2016,Residential,535303586.0,6730799.38,,Baseline
Russia,Europe,2017,Energy,1442588334.0,3905839.4392810767,3675.12,Renewable_Transition
PHILIPPINES,Asia,2021,Transport,159870890.0,,1555.25,Renewable_Transition
Iran,Asia,2018,Residential,1156021403.0,1650274.14016838,294.16,Renewable_Transition
Indonesia,Asia,2002,Transport,543249922.0,1705649.5051950256,3519.88,High_Growth
Germany,Europe,1995,Residential,236013305.0,2373732.0,1207.78,Baseline
Bangladesh,Asia,2020,Residential,2050038940.0,941789.0655626975,986.75,High_Growth
UAE,Asia,1995,Industry,755257736.0,1738165.7052934135,2051.12,Renewable_Transition
China,Asia,2023,Industry,,5683683.7194655165,363.06,Renewable_Transition
India,Asia,2001,Residential,1542894526.0,1833830.9700227906,1150.98,Renewable_Transition
China,Asia,2015,Industry,190155513.0,,575.24,Policy_Reduction
Nigeria,Africa,2020,Agriculture,2087717082.0,6598316.66,,Baseline
India,Asia,2011,Transport,1512908853.0,2782920.51,1831.45,Baseline
Bangladesh,Asia,1998,Agriculture,1450350915.0,280167.6045186129,987.27,High_Growth
JAPAN,Asia,1995,Industry,403723379.0,2384964.7940024505,3639.39,High_Growth
Nigeria,Africa,2006,Residential,1422596289.0,2587669.329516218,42.51,Policy_Reduction
SAUDI ARABIA,Middle East,2023,Residential,1469704274.0,5024619.53281722,460.61,High_Growth
Egypt,Africa,1995,Agriculture,1009736337.0,2362659.9924070206,96.17,Renewable_Transition
South Korea,Asia,1998,Agriculture,,1742060.1615167968,355.49,Policy_Reduction
JAPAN,Asia,2019,Agriculture,,6377526.318324032,,Policy_Reduction
Spain,Europe,2018,Residential,756541096.0,,1898.61,Renewable_Transition
China,Asia,2001,Energy,189214354.0,2575168.6141820867,1719.31,High_Growth
Italy,Europe,2015,Residential,1150325002.0,1910946.4036594406,750.91,Renewable_Transition
India,Asia,2011,Energy,,2994481.2907763566,10585.06,High_Growth
Saudi Arabia,Middle East,2019,Energy,1976306163.0,5131591.17,1173.1,Baseline
United Kingdom,Europe,2023,Agriculture,82119827.0,2097365.9042429416,658.61,Policy_Reduction
South Africa,Africa,2013,Residential,579791507.0,1732798.11811223,952.08,High_Growth
ARGENTINA,South America,2009,Industry,672867261.0,4871662.94798734,1013.23,Policy_Reduction
France,Europe,2010,Transport,1381003117.0,995178.1342860766,,Policy_Reduction
South Africa,Africa,2011,Industry,480262508.0,1112442.5546367397,751.82,Policy_Reduction
United States,North America,2002,Residential,1413069778.0,397164.83516574197,921.73,High_Growth
RUSSIA,Europe,2006,Industry,,1998448.8847237555,1457.56,Policy_Reduction
Spain,Europe,2018,Energy,756541096.0,3345734.35,2702.1,Baseline
France,Europe,2010,Energy,1381003117.0,950042.8986448435,5966.36,Policy_Reduction
Mexico,North America,2023,Energy,301403662.0,501489.5531978774,1982.08,Policy_Reduction
India,Asia,2014,Residential,1834984780.0,3391148.21,1540.26,Baseline
Iran,Asia,1997,Industry,818757755.0,565730.7934168412,521.81,High_Growth
Canada,North America,2016,Agriculture,931460871.0,1700892.32,1128.5,Baseline
Japan,Asia,2000,Industry,,2755264.46,3583.88,Baseline
Germany,Europe,2009,Agriculture,270754441.0,3871521.470678798,1227.47,Renewable_Transition
Egypt,Africa,1997,Transport,1045179586.0,2649478.3,300.16,Baseline
Australia,Oceania,2022,Energy,842985807.0,686027.39,3074.55,Baseline
Argentina,South America,2000,Agriculture,621772670.0,2527620.4836917263,275.03,Renewable_Transition
South Africa,Africa,1996,Agriculture,428943981.0,630912.85,275.74,Baseline
Mexico,North America,2006,Residential,253618726.0,178530.95164621173,338.79,Policy_Reduction
Japan,Asia,2001,Agriculture,433673582.0,2646092.9,903.78,Baseline
Canada,North America,2008,Transport,939367476.0,,3628.51,Baseline
Bangladesh,Asia,2002,Residential,1564748180.0,295920.974009344,836.73,Renewable_Transition
Argentina,South America,2000,Agriculture,621772670.0,2810556.31795927,430.65,High_Growth
Pakistan,Asia,2002,Residential,1524593377.0,2702948.9,539.88,Baseline
China,Asia,1998,Transport,177211373.0,,416.98,Renewable_Transition
Egypt,Africa,2010,Agriculture,1152716692.0,4098477.596410262,96.84,Renewable_Transition
Russia,Europe,2016,Residential,1740702039.0,3544242.8,1363.56,Baseline
Nigeria,Africa,2007,Energy,1632389155.0,2942365.900864802,254.74,High_Growth
Saudi Arabia,Middle East,2010,Residential,,5164227.536097084,103.92,Renewable_Transition
South Africa,Africa,2019,Transport,509485816.0,2368031.424420673,452.33,Policy_Reduction
South Africa,Africa,1998,Energy,441705178.0,693684.97,1759.32,Baseline
Japan,Asia,2000,Residential,,2703415.157426086,1088.53,Policy_Reduction
VIETNAM,Asia,2007,Energy,295645345.0,1304129.4098712942,3257.24,Policy_Reduction
Malaysia,Asia,2010,Agriculture,1609520977.0,3662511.318937058,419.49,Renewable_Transition
Japan,Asia,2006,Industry,451785385.0,3197447.0474401866,3131.68,Policy_Reduction
Iran,Asia,2009,Industry,1012304967.0,1060143.6173659358,295.81,Renewable_Transition
UAE,Asia,2007,Agriculture,871166900.0,2980476.02,857.22,Baseline
United States,North America,2001,Residential,1278285206.0,299520.19079584547,,Policy_Reduction
INDIA,Asia,2018,Industry,1999380332.0,2625307.958114076,2699.66,Renewable_Transition
Brazil,South America,1999,Industry,,2486942.119069771,2907.96,Policy_Reduction
TURKEY,Middle East,2007,Agriculture,310759818.0,1078251.8068778603,1445.53,High_Growth
Vietnam,Asia,2013,Energy,326139214.0,1389636.46,3697.33,Baseline
Canada,North America,2014,Transport,1002554842.0,1442658.9349363758,4885.65,High_Growth
Turkey,Middle East,1997,Transport,,707642.4505755638,2002.38,Policy_Reduction
Italy,Europe,2002,Energy,1003366596.0,1257443.08,7563.4,Baseline
Italy,Europe,2024,Residential,1269478044.0,2528384.31,1198.44,Baseline
France,Europe,2007,Industry,1317723810.0,,2737.36,High_Growth
SOUTH KOREA,Asia,2014,Residential,1518052560.0,3174529.860310931,440.87,Policy_Reduction
United Kingdom,Europe,2008,Energy,76271557.0,2012046.17,8470.89,Baseline
Australia,Oceania,2023,Agriculture,839961292.0,522085.9973225698,342.89,Renewable_Transition
Russia,Europe,2003,Residential,,2075564.2218614814,631.33,High_Growth
Iran,Asia,2017,Energy,1036379407.0,783278.38,1226.05,Baseline
South Africa,Africa,2022,Industry,633772086.0,2215028.5478757923,643.91,Policy_Reduction
Argentina,South America,2011,Agriculture,,5038451.043597306,377.4,Policy_Reduction
Malaysia,Asia,2022,Agriculture,1585190813.0,4713503.96,666.57,Baseline
South Korea,Asia,2021,Energy,,3676566.41,1485.93,Baseline
South Korea,Asia,1999,Industry,1198227967.0,1957562.1768596466,,High_Growth
United States,North America,2006,Residential,1364117735.0,363520.8400661804,842.38,Renewable_Transition
Pakistan,Asia,2011,Energy,1804470861.0,3324881.837479863,1693.51,Renewable_Transition
Thailand,Asia,2021,Residential,52488537.0,10128195.201603781,174.3,Policy_Reduction
South Korea,Asia,1995,Industry,1174372616.0,1644741.6260981339,,Policy_Reduction
South Africa,Africa,2020,Residential,534551995.0,1763936.64,268.82,Baseline
Canada,North America,2018,Agriculture,1125061318.0,2066987.2922367917,1012.47,Policy_Reduction
Indonesia,Asia,2005,Industry,589428367.0,,3444.76,Renewable_Transition
United States,North America,1995,Industry,1237077737.0,255285.44125451686,2003.01,High_Growth
South Korea,Asia,2011,Residential,1411665861.0,3448704.19701091,326.16,Renewable_Transition
France,Europe,1997,Transport,1263173911.0,680251.66,1822.06,Baseline
Germany,Europe,2019,Residential,343549766.0,,1684.25,Policy_Reduction
Vietnam,Asia,2001,Residential,307789471.0,940815.3481734742,982.69,High_Growth
Brazil,South America,2012,Transport,538909589.0,4616901.46494885,6119.58,High_Growth
Russia,Europe,2020,Industry,1544544879.0,3062182.45741841,2251.81,Policy_Reduction
Saudi Arabia,Middle East,2008,Residential,1375101844.0,4472081.904892689,176.28,Policy_Reduction
China,Asia,2005,Residential,190751177.0,,284.63,Policy_Reduction
Philippines,Asia,2015,Energy,148340918.0,7326912.0,,Baseline
United States,North America,2023,Industry,1929565589.0,652440.0713472927,4128.19,High_Growth
Japan,Asia,2001,Industry,433673582.0,2669507.290794592,,Renewable_Transition
Iran,Asia,2005,Industry,894880751.0,,719.43,Baseline
South Africa,Africa,2013,Energy,579791507.0,1653832.5645918122,2793.38,High_Growth
Thailand,Asia,2002,Agriculture,37472481.0,3650911.5739535773,108.9,Policy_Reduction
INDONESIA,Asia,2019,Industry,802939027.0,3821560.3790904735,3479.83,Renewable_Transition
Russia,Europe,2017,Industry,1442588334.0,3882810.17,3555.36,Baseline
Philippines,Asia,1997,Residential,,2741512.455202455,886.9,Renewable_Transition
Australia,Oceania,2000,Industry,612225722.0,217686.77,2729.66,Baseline
France,Europe,2004,Transport,,1179904.8203688755,2309.58,High_Growth
Indonesia,Asia,1998,Energy,528757561.0,1397799.91,6134.58,Baseline
India,Asia,1999,Transport,1432168339.0,1789399.34,,Baseline
Nigeria,Africa,2014,Agriculture,1629180135.0,2774757.158937168,73.27,Policy_Reduction
Malaysia,Asia,2024,Agriculture,1811408979.0,,1212.62,Renewable_Transition
Australia,Oceania,2016,Energy,780753866.0,624333.2571986797,7899.06,Policy_Reduction
India,Asia,1995,Energy,1387858126.0,,5999.54,High_Growth
UAE,Asia,1996,Industry,762459090.0,1761548.14,2694.79,Baseline
Iran,Asia,2014,Industry,,907794.7430671497,247.88,Renewable_Transition
Vietnam,Asia,2000,Transport,302231839.0,,1875.23,High_Growth
France,Europe,2019,Agriculture,1608116753.0,1467705.129563706,1787.7,Policy_Reduction
France,Europe,1997,Energy,,759554.3374301306,4844.64,High_Growth
Argentina,South America,2001,Agriculture,635267074.0,,,Renewable_Transition
UAE,Asia,2005,Energy,831886880.0,2953773.43,4484.53,Baseline
India,Asia,1998,Energy,1432011681.0,,5253.69,Baseline
United States,North America,2012,Transport,1622846954.0,450529.31189055444,2951.94,High_Growth
India,Asia,2007,Transport,1684959690.0,2825409.028550878,1872.03,High_Growth
Russia,Europe,2015,Energy,1620900090.0,3731868.1915966966,1403.73,Renewable_Transition
Canada,North America,2011,Energy,921180219.0,1256150.9151924637,3251.51,Policy_Reduction
Vietnam,Asia,2018,Industry,419700916.0,1548447.2309525628,,High_Growth
FRANCE,Europe,2023,Energy,1588745653.0,2818045.38,12627.15,Baseline
Canada,North America,2016,Energy,931460871.0,1734666.649383657,9510.74,Policy_Reduction
Pakistan,Asia,1997,Residential,,1945108.9589299227,,Policy_Reduction
Japan,Asia,1997,Transport,,2241997.891601297,1564.99,Renewable_Transition
South Africa,Africa,1996,Transport,428943981.0,723931.222632202,763.25,High_Growth
Italy,Europe,1999,Energy,905505784.0,1195440.7851131475,5324.08,Policy_Reduction
United States,North America,1995,Energy,1237077737.0,236671.0,3125.44,Baseline
Iran,Asia,2017,Agriculture,1036379407.0,783278.38,226.81,Baseline
Vietnam,Asia,2004,Transport,291069319.0,1046889.2893847616,1626.12,Policy_Reduction
IRAN,Asia,2019,Energy,1182447183.0,,722.79,High_Growth
Egypt,Africa,2020,Transport,1568867132.0,3951092.4,694.27,Baseline
South Korea,Asia,2004,Energy,1242077475.0,2466903.9,2079.82,Baseline
Italy,Europe,2010,Transport,,2430519.69,3128.03,Baseline
UNITED STATES,North America,2021,Residential,1567876946.0,,,Renewable_Transition
France,Europe,1998,Industry,1274967136.0,770422.8449383812,3140.61,High_Growth
UAE,Asia,2023,Energy,892295406.0,4566237.540519032,4093.28,Policy_Reduction
Russia,Europe,2014,Transport,1733106866.0,2209802.619062064,715.89,Renewable_Transition
India,Asia,2003,Energy,1471293750.0,1944819.77,5216.77,Baseline
China,Asia,2008,Industry,212000370.0,2776763.1820529914,1114.05,High_Growth
Australia,Oceania,2002,Industry,617922414.0,242905.24419479683,2298.98,Renewable_Transition
Argentina,South America,1997,Transport,588169329.0,2587739.4865895077,711.26,Renewable_Transition
Saudi Arabia,Middle East,2021,Agriculture,1977944090.0,5949348.171820483,96.96,Renewable_Transition
France,Europe,2001,Industry,1325408341.0,891142.4,2514.79,Baseline
India,Asia,1997,Energy,,1633148.560617044,4615.38,Policy_Reduction
Mexico,North America,2012,Residential,274666937.0,251533.5668467184,347.73,High_Growth
Turkey,Middle East,2013,Residential,313970698.0,1094718.7047357748,735.86,Renewable_Transition
UAE,Asia,1997,Transport,768808397.0,1810110.82163817,1512.05,Renewable_Transition
Pakistan,Asia,2011,Transport,1804470861.0,3400100.198340688,1253.57,Policy_Reduction
Pakistan,Asia,2015,Residential,1865457471.0,2822842.5509644197,243.37,Renewable_Transition
Iran,Asia,1998,Energy,822440553.0,522136.91,915.54,Baseline
Germany,Europe,2006,Agriculture,259705181.0,2887873.1703105606,619.42,Renewable_Transition
Pakistan,Asia,2011,Transport,1804470861.0,3244019.86,1501.8,Baseline
INDIA,Asia,2013,Agriculture,1714490323.0,2681286.5080726417,476.91,Renewable_Transition
Brazil,South America,2013,Residential,541860807.0,4082845.5331670125,2836.83,Policy_Reduction
India,Asia,2017,Industry,1853501868.0,2908508.38,8606.96,Baseline
Germany,Europe,2004,Transport,259595862.0,3048912.487615837,1583.42,Renewable_Transition
NIGERIA,Africa,2002,Residential,1396762637.0,,41.26,Policy_Reduction
United Kingdom,Europe,2022,Industry,103759629.0,4680861.546947271,3621.81,Policy_Reduction
UNITED STATES,North America,2021,Residential,1567876946.0,,,Policy_Reduction
South Korea,Asia,2013,Industry,1634485864.0,3343653.526671965,1346.19,Renewable_Transition
Nigeria,Africa,1996,Energy,1309123259.0,1738504.75,231.91,Baseline
United Kingdom,Europe,2009,Residential,87293244.0,1950883.236772936,1294.23,Renewable_Transition
FRANCE,Europe,2018,Residential,1396339262.0,1812037.43,,Baseline
Canada,North America,2024,Residential,853439280.0,3838466.0357939266,3295.65,High_Growth
Spain,Europe,2004,Residential,596169001.0,1947557.5244666543,652.53,Renewable_Transition
Egypt,Africa,2022,Residential,1339040762.0,5016813.162591012,,High_Growth
Bangladesh,Asia,2023,Industry,1868405047.0,,7695.63,High_Growth
BANGLADESH,Asia,2014,Transport,1847052820.0,328811.79791544634,1563.13,Renewable_Transition
South Africa,Africa,2003,Energy,449590655.0,863732.57,1645.15,Baseline
France,Europe,2013,Energy,1696957279.0,1273916.53,8570.85,Baseline
AUSTRALIA,Oceania,2013,Industry,790615261.0,376029.5570824053,2069.04,Policy_Reduction
Turkey,Middle East,2023,Residential,430266840.0,1931094.24,,Baseline
Malaysia,Asia,2006,Transport,1481452187.0,3225846.04574624,2614.5,High_Growth
Russia,Europe,2001,Transport,1274245146.0,1996132.7758227717,910.81,Policy_Reduction
PHILIPPINES,Asia,2003,Industry,,3206036.21,,Baseline
MEXICO,North America,2013,Transport,281929937.0,252081.33167273353,,Policy_Reduction
Indonesia,Asia,2016,Energy,659179769.0,3508942.161418416,3376.53,Renewable_Transition
China,Asia,2000,Energy,179097298.0,2222746.7179338047,1277.49,Policy_Reduction
Nigeria,Africa,2004,Transport,1438433129.0,2717908.38,85.5,Baseline
Italy,Europe,2007,Transport,,,3291.62,High_Growth
China,Asia,1998,Industry,177211373.0,2180713.4553373987,927.25,High_Growth
Bangladesh,Asia,2024,Agriculture,1898160289.0,1008192.4642349726,1714.81,Renewable_Transition
China,Asia,1998,Residential,177211373.0,2273800.6973901163,416.59,High_Growth
China,Asia,2015,Agriculture,190155513.0,4513555.693038067,170.01,Policy_Reduction
Indonesia,Asia,2004,Residential,577247454.0,,,Renewable_Transition
Mexico,North America,2004,Industry,251131181.0,195691.05442073746,530.58,Renewable_Transition
Malaysia,Asia,2018,Transport,1878741880.0,4048701.209179035,4483.15,Policy_Reduction
Thailand,Asia,2009,Residential,40860537.0,4110467.98,151.86,Baseline
Indonesia,Asia,2016,Energy,659179769.0,3754242.0580370105,5200.77,High_Growth
Brazil,South America,2006,Agriculture,449094170.0,3537670.63,1009.06,Baseline
Mexico,North America,2008,Transport,259575743.0,236731.5710107714,284.99,Renewable_Transition
Canada,North America,2024,Residential,853439280.0,3679351.479422514,2118.61,Renewable_Transition
Turkey,Middle East,2001,Industry,,915641.18,3312.25,Baseline
India,Asia,2001,Industry,1542894526.0,1845191.07,3422.27,Baseline
Egypt,Africa,2014,Transport,1207289100.0,6650428.157729382,457.92,High_Growth
Argentina,South America,2018,Transport,725658382.0,8320153.71,1394.07,Baseline
Germany,Europe,2000,Agriculture,245616392.0,3246726.512011766,690.94,Renewable_Transition
Argentina,South America,2007,Industry,640658785.0,2840363.5781094357,1397.23,Renewable_Transition
SPAIN,Europe,2012,Agriculture,696110080.0,3912536.1054333565,906.37,Policy_Reduction
Bangladesh,Asia,2012,Transport,1682250946.0,571163.7014397349,3718.47,High_Growth
Vietnam,Asia,2009,Agriculture,323267906.0,920832.9580753238,637.19,High_Growth
